文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特表2016-522943,            特願2016-514221,2014/05/21,2014/11/27,ソフトウェアアプリケーションを制御するためのユーザインタフェース,フェアライト　オーストラリア　ピーティワイ　エルティディ,",G06F3/01,560,G06F3/023,310@L,G06F3/02,310@F,他,"
実登3194346,            実願2014-004761,2014/09/05,2014/11/13,傾斜面作業補助具,株式会社ネクスコ・メンテナンス北海道,",A43C15/09,"
特開2014-210019,            特願2013-087294,2013/04/18,2014/11/13,トレーニング器具,株式会社葵精工,",A63B22/06@G,"
特表2016-518174,            特願2016-506572,2014/04/01,2014/10/09,リールベースのクロージャーシステムを含むようにフットウェアを後付け改装するための方法および装置,ボア　テクノロジー　インコーポレイテッド              他,",A43C11/16,A43B23/02,105@Z,"
特開2014-189710,            特願2013-068054,2013/03/28,2014/10/06,樹脂組成物及びそれを含む成形体,三井化学株式会社,",C08L23/26,C08L77/00,"
特開2014-166193,            特願2013-003223,2013/01/11,2014/09/11,締め付け紐及びそれを用いた靴,株式会社シマノ,",A43B23/02,104,A43C1/00,A43C11/00,他,"
特表2016-506808,            特願2015-556547,2013/12/10,2014/08/14,スキー板上のブーツの固定されたビンディング,ブリソン、ソシエテ、アノニム,",A63C9/088,"
特表2016-505853,            特願2015-551776,2014/01/03,2014/07/10,マルチウェルプレートおよびコンタクトプラットフォームを利用した電気化学発光分析用計器,メソ　スケール　テクノロジーズ　エルエルシー,",G01N21/76,G01N21/78@C,"
特開2014-121336,            特願2014-061946,2014/03/25,2014/07/03,解体処理した家禽の死骸部分を処理するためのシステム及び方法,マレル・シュトルク・ポウルトリー・プロセシング・ベー・フェー,",A22C21/00@Z,"
特表2016-512480,            特願2015-536792,2013/09/25,2014/06/26,赤外光を使用可能で電磁遮蔽式の航空機の窓,ザ・ボーイング・カンパニー,",B64C1/14,C03C27/12@L,H05K9/00@V,"
特開2014-080618,            特願2013-256094,2013/12/11,2014/05/08,非水性分散ポリマーを有するファストセッティング枚葉オフセットインク,サン　ケミカル　コーポレイション,",C08F265/06,C08L51/00,C09D11/033,他,"
特開2014-076144,            特願2012-224865,2012/10/10,2014/05/01,インラインローラアッセンブリ,植田　拓明,",A63C17/06,A63C17/14,"
特表2015-532117,            特願2015-537655,2013/10/09,2014/04/24,屠殺された家禽の枝肉部から鞍下肉を採取するためのシステムおよび方法,マレル・シュトルク・ポウルトリー・プロセシング・ベー・フェー,",A22C21/00@Z,"
特表2015-532118,            特願2015-537656,2013/10/09,2014/04/24,食肉処理された家禽の屠体から脚部を分離するための装置,マレル・シュトルク・ポウルトリー・プロセシング・ベー・フェー,",A22C21/00@Z,"
特開2014-042328,            特願2013-215090,2013/10/15,2014/03/06,ネットワークを管理する及び安全にするためのネットワークオペレーティングシステム,ニシラ，　インコーポレイテッド,",H04L12/24,H04L12/717,H04L45/42,他,"
特開2014-023543,            特願2013-231885,2013/11/08,2014/02/06,屠殺された家禽の屠殺体の一部を処理するためのデバイスおよび方法,マレル・シュトルク・ポウルトリー・プロセシング・ベー・フェー,",A22C21/00@Z,"
特開2014-012137,            特願2013-137801,2013/07/01,2014/01/23,スキー、ブーツ、及びスキーとブーツ間のビンディング,ワン　ウェイ　スポート　オーワイ,",A63C9/00@B,A63C9/10,"
特表2015-525625,            特願2015-520891,2013/06/28,2014/01/16,結合ユニット,ペーター　フアト,",A63C5/03,A63B69/18@Z,A63C5/065,"
特開2014-004361,            特願2013-129710,2013/06/20,2014/01/16,スプリットボードビンディング、スプリットボード、およびスプリットボードアセンブリ,ケイ‐ツー、コーポレーション,",A63C5/00@C,A63C5/06@B,A63C9/084,他,"
特開2014-001476,            特願2012-136929,2012/06/18,2014/01/09,スノーボードパンツ,株式会社ゴールドウイン              他,",A41D1/06@M,A41D1/06,501@D,A41D1/08@A,他,"
特表2015-531096,            特願2015-516275,2013/06/10,2013/12/19,データ収集・解析システムと方法,インタートラスト　テクノロジーズ　コーポレイション,",G06F21/62,354,G06Q30/02,150,G06F21/31,他,"
特表2015-521489,            特願2015-516107,2013/06/04,2013/12/12,放射性医薬品供給及びチューブ管理システム,ベイヤー　メディカル　ケア　インク．              他,",A61N5/10@C,A61N5/10@Z,A61N5/10@S,他,"
実登3187181,            実願2013-005071,2013/09/02,2013/11/14,ゴルフカート用座席マット,株式会社秀営,",A47C27/00@K,A63B55/08@Z,A63B55/60@Z,他,"
特開2013-193737,            特願2013-055359,2013/03/18,2013/09/30,自動車における操作素子の制御装置,パラゴン　アクチエンゲゼルシャフト,",B60N2/44,B60R16/02,630@Z,B60N2/90,"
特表2015-516828,            特願2015-500663,2013/03/15,2013/09/19,締付け機構およびそれを含む用途,ボア　テクノロジー　インコーポレイテッド,",A43C11/08,A63C10/00,A45F3/02,410,他,"
実登3185981,            実願2013-003757,2013/07/01,2013/09/12,滑走体,株式会社ハスコ・エンタープライズ,",A63C5/00@C,A63C5/044,A63C5/056,"
特開2013-172819,            特願2012-038680,2012/02/24,2013/09/05,自転車靴用靴底,東レ株式会社,",A43B5/14,A43B13/04@A,A43B13/14@A,"
特開2013-158346,            特願2012-019733,2012/02/01,2013/08/19,歩行支援装置の初期設定方法,トヨタ自動車株式会社,",A61H3/00@B,"
特開2013-150859,            特願2013-078077,2013/04/03,2013/08/08,滑走ボードビンディング,ザ　バートン　コーポレーション,",A63C10/28,A63C10/16,"
特開2013-150714,            特願2012-013319,2012/01/25,2013/08/08,歩行支援装置,トヨタ自動車株式会社,",A61F2/64,A61F2/68,A61H3/00@B,他,"
特開2013-138851,            特願2012-273621,2012/12/14,2013/07/18,使用者保持装置,リコ　リサーチ　アンド　ディベロップメント　アーベー,",A61G7/10,"
特開2013-117016,            特願2012-237350,2012/10/28,2013/06/13,雪氷上滑走移動用具の潤滑剤組成物及びその製造方法,株式会社ナノ炭素研究所              他,",C09G3/00,C10M101/02,C10M105/04,他,"
実登3183445,            実願2012-007985,2012/12/20,2013/05/23,水上ボード,岩男　聡,",A63B35/12,B63B35/79@C,B63B32/10,"
特開2013-094324,            特願2011-238343,2011/10/31,2013/05/20,歩行支援装置及びその初期設定方法,トヨタ自動車株式会社,",A61H3/00@B,"
特開2013-090844,            特願2011-235276,2011/10/26,2013/05/16,歩行補助装置及びその制御方法,トヨタ自動車株式会社,",A61H3/00@B,"
特開2013-090843,            特願2011-235275,2011/10/26,2013/05/16,歩行補助装置及びその制御方法,トヨタ自動車株式会社,",A61H3/00@B,B25J13/00@Z,"
特開2013-090739,            特願2011-234119,2011/10/25,2013/05/16,歩行支援装置及びその制御方法,トヨタ自動車株式会社,",A61F2/60,A61F2/70,A61H3/00@B,他,"
特表2014-532495,            特願2014-539378,2012/10/25,2013/05/10,スキーブーツと係合可能な膝関節保護用装置,アンスティテュ　フランセ　デ　シアンス　エ　テクノロジ　デ　トランスポール，　ドゥ　ラメナジュマン　エ　デ　レゾ              他,",A61F5/01@N,A63B71/12@C,"
特開2013-084283,            特願2012-262550,2012/11/30,2013/05/09,リアルタイムカーネル,ソーシャル・コミュニケーションズ・カンパニー,",G06F13/00,540@A,G06F13/00,650@R,H04L67/131,他,"
特開2013-065341,            特願2012-262551,2012/11/30,2013/04/11,リアルタイムカーネル,ソーシャル・コミュニケーションズ・カンパニー,",G06F3/048,651@A,G06F13/00,650@R,G06F3/048,他,"
特表2014-527874,            特願2014-531108,2011/09/20,2013/03/28,運動練習をサポートするためのシステム及び方法,フリードリヒ－アレクサンダー－ウニベルシタット　アーリンゲン－ニュルンベルク              他,",A61H1/02@N,A63B69/00@A,A63B69/00@C,他,"
特表2014-531362,            特願2014-531288,2012/04/20,2013/03/28,乗員推進装置及び乗員推進システム,ザパタ　ホールディング,",A63B35/00,B64C29/02,B64C39/02,"
特表2014-526327,            特願2014-530232,2012/09/13,2013/03/21,スポーツブーツ,ダウー・スポーツ・カンパニー・ソシエテ・アノニム,",A43B5/04@D,A43B5/04@F,A43B5/04@P,他,"
特開2013-046636,            特願2012-246779,2012/11/08,2013/03/07,屠殺された家禽の体部位の加工方法とデバイス,マレル　ストルク　ポウルトリー　プロセッシング　ベー．フェー．,",A22C21/00@Z,"
特開2013-046635,            特願2012-246777,2012/11/08,2013/03/07,屠殺された家禽の体部位の加工方法とデバイス,マレル　ストルク　ポウルトリー　プロセッシング　ベー．フェー．,",A22C21/00@Z,"
特開2013-046634,            特願2012-246776,2012/11/08,2013/03/07,屠殺された家禽の体部位の加工方法とデバイス,マレル　ストルク　ポウルトリー　プロセッシング　ベー．フェー．,",A22C21/00@Z,"
特開2013-046633,            特願2012-246775,2012/11/08,2013/03/07,屠殺された家禽の体部位の加工方法とデバイス,マレル　ストルク　ポウルトリー　プロセッシング　ベー．フェー．,",A22C21/00@Z,"
特開2013-046632,            特願2012-246774,2012/11/08,2013/03/07,屠殺された家禽の体部位の加工方法とデバイス,マレル　ストルク　ポウルトリー　プロセッシング　ベー．フェー．,",A22C21/00@Z,"
特開2013-046631,            特願2012-246773,2012/11/08,2013/03/07,屠殺された家禽の体部位の加工方法とデバイス,マレル　ストルク　ポウルトリー　プロセッシング　ベー．フェー．,",A22C21/00@Z,"
特表2014-529443,            特願2014-527249,2012/08/22,2013/02/28,ラチェットバックルとストラップのアセンブリ,ザ　バートン　コーポレーション,",A44B11/24,A63C10/06,"
特表2014-524323,            特願2014-526559,2012/08/17,2013/02/28,補強された側壁及び可変の長さを有するアクセサリーバッグ,ディービー、イクイップメント、アクティーゼルスカブ,",A45C11/00@H,A45C13/30@B,"
実登3181790,            実願2012-007455,2012/12/10,2013/02/21,スノーボード用滑り止め具,長屋　義彦,",A63C5/00@C,A63C7/00,A63C11/00,"
実登3180959,            実願2012-006642,2012/10/31,2013/01/17,アイゼン,株式会社エキスパートオブジャパン,",A43C15/06,"
特開2012-238647,            特願2011-105247,2011/05/10,2012/12/06,光モジュール,住友電工デバイス・イノベーション株式会社,",H01S5/022,H01S5/02212,H01S5/02218,他,"
特開2012-236589,            特願2012-098820,2012/04/24,2012/12/06,自転車用ペダリング力検知アッセンブリ,株式会社シマノ,",B62J39/00@J,B62J39/00@K,B62J99/00@J,他,"
特表2014-512837,            特願2014-509260,2012/04/24,2012/11/15,家禽首肉摘出機および家禽首肉の機械化された摘出を行う方法,マレル・シュトルク・ポウルトリー・プロセシング・ベー・フェー,",A22C21/00@Z,"
特開2012-227654,            特願2011-092205,2011/04/18,2012/11/15,携帯端末、携帯システム、静電気対処方法、プログラム,ＮＥＣカシオモバイルコミュニケーションズ株式会社,",A63C11/00,H04B1/40,H04M1/00@V,他,"
特開2012-200828,            特願2011-068728,2011/03/25,2012/10/22,作業用補助具,独立行政法人農業・食品産業技術総合研究機構,",A61F2/50,A61F5/01@K,A61H1/02@A,他,"
実登3178936,            実願2012-003292,2012/06/01,2012/10/11,筒型ジョイント,株式会社システック              他,",A61M16/08,330,F16L33/00@Z,"
特開2012-187413,            特願2012-109319,2012/05/11,2012/10/04,データ送信機能を含む履物製品,ナイキ　イノベイト　セー．　フェー．,",A43B7/36,A43B13/14@Z,A63B69/00@C,"
